Strain,Habitat,dxs,hmgs,ispC,ispD,ispE,ispG,phaA
Acaryochloris_marina_MBIC11017,aquatic,6,0,1,1,1,1,1
Aetokthonos_hydrillicola_B3-Florida,aquatic,9,0,1,1,2,1,1
Anabaena_cylindrica_PCC_7122,aquatic,7,0,1,1,1,1,0
Anabaena_sp._90_90,aquatic,6,0,1,1,1,1,0
Anabaena_sp._WA102_WA102,aquatic,6,0,1,1,1,1,0
Aphanocapsa_lilacina_HA4352-LM1,subaerial,5,0,1,1,1,1,0
Aphanocapsa_sp._GSE-SYN-MK-11-07L,subaerial,4,0,1,1,1,1,1
Aphanothece_saxicola_GSE-SYN-MK-01-06B,subaerial,4,0,1,1,1,1,0
Aphanothece_sp._CMT-3BRIN-NPC111,soil,4,0,1,1,1,1,0
Brasilonema_angustatum_HA4187-MV1,soil,6,0,1,1,1,1,0
Brasilonema_octagenarum_HA4186-MV1,subaerial,8,0,1,1,1,1,0
Calothrix_sp._336_3_336_3,aquatic,4,0,1,1,2,1,0
Calothrix_sp._FI2-JRJ7,soil,4,0,1,1,1,1,1
Calothrix_sp._PCC_6303,aquatic,4,0,1,1,1,1,0
Calothrix_sp._PCC_7507_PCC_7507,hydroterrestrial,7,0,1,1,1,1,0
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_ALOHA,aquatic,4,0,1,0,1,1,0
Chroococcidiopsis_thermalis_PCC_7203,soil,6,0,1,2,1,1,1
Chroococcus_sp._CMT-3BRIN-NPC107,soil,4,0,0,1,1,1,0
Crocosphaera_subtropica_ATCC_51142,hydroterrestrial,5,0,1,1,1,1,0
Cyanobacterium_aponinum_PCC_10605,aquatic,4,0,1,1,2,1,0
cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko,aquatic,0,0,0,0,0,0,0
Cyanobium_gracile_PCC_6307,aquatic,4,0,1,1,1,1,0
Cyanomargarita_calcarea_GSE-NOS-MK-12-04C,subaerial,5,0,1,1,1,1,0
Cyanosarcina_radialis_HA8281-LM2,subaerial,8,0,1,1,1,1,1
Cyanothece_sp._PCC_7425_PCC_7425,hydroterrestrial,6,1,1,1,1,1,2
Dactylococcopsis_salina_PCC_8305,aquatic,4,2,1,1,1,1,0
Desmonostoc_geniculatum_HA4340-LM1,subaerial,4,0,1,1,1,1,0
Desmonostoc_vinosum_HA7617-LM4,subaerial,9,0,1,1,1,1,0
Drouetiella_hepatica_UHER_2000_2452,subaerial,5,0,1,1,1,1,0
Gloeobacter_kilaueensis_JS1,subaerial,6,2,1,1,1,1,0
Gloeobacter_violaceus_PCC_7421,subaerial,1,0,1,1,1,1,0
Gloeocapsa_sp._PCC_7428_PCC_7428,aquatic,4,0,1,1,2,1,0
Gloeocapsa_sp._UFS-A4-WI-NPMV-4B04,soil,4,1,1,1,2,1,0
Gloeothece_citriformis_PCC_7424,hydroterrestrial,6,0,1,1,1,1,1
Gloeothece_verrucosa_PCC_7822,hydroterrestrial,6,0,1,1,1,1,1
Goleter_apudmare_HA4340-LM2,subaerial,7,0,1,1,1,1,0
Halothece_sp._PCC_7418_PCC_7418,aquatic,4,1,1,1,1,1,0
Hassallia_sp._WJT32-NPBG1,soil,5,0,2,2,1,1,1
Iphinoe_sp._HA4291-MV1,soil,6,0,1,1,1,1,0
Kaiparowitsia_implicata_GSE-PSE-MK54-09C,subaerial,6,0,1,1,1,1,0
Kastovskya_adunca_ATA6-11-RM4,soil,4,1,1,1,1,1,0
Komarekiella_atlantica_HA4396-MV6,hydroterrestrial,7,0,1,1,1,1,0
Leptolyngbya_sp._PCC_7376_,subaerial,4,0,1,1,1,1,1
Lyngbya_sp._HA4199-MV5,soil,6,0,1,1,1,1,0
Microcoleus_sp._PCC_7113_PCC_7113,soil,4,0,1,1,1,1,0
Microcoleus_vaginatus_WJT46-NPBG5,soil,4,0,1,1,1,1,1
Microcystis_aeruginosa_NIES-843,aquatic,9,0,1,1,1,1,1
Mojavia_pulchra_JT2-VF2,soil,9,0,1,1,1,1,2
Myxacorys_californica_WJT36-NPBG1,soil,4,0,1,1,1,1,2
Myxacorys_chilensis_ATA2-1-KO14,soil,4,0,1,1,2,1,1
Nodosilinea_sp._WJT8-NPBG4,soil,5,1,1,1,1,1,1
Nostoc_azollae_0708,aquatic,7,0,1,1,1,1,1
Nostoc_desertorum_CM1-VF14,,4,0,1,1,1,1,1
Nostoc_indistinguendum_CM1-VF10,,4,0,1,1,1,1,1
Nostoc_punctiforme_PCC_73102_ATCC_29133__PCC_73102,soil,6,2,1,1,1,1,0
Nostoc_sp._PCC_7107_PCC_7107,aquatic,4,0,1,1,1,1,0
Nostoc_sp._PCC_7524_PCC_7524,aquatic,7,0,1,1,1,1,0
Oscillatoria_acuminata_PCC_6304,soil,4,1,1,1,1,1,0
Oscillatoria_nigro-viridis_PCC_7112,soil,4,0,1,1,1,1,0
Oscillatoria_princeps_RMCB-10,aquatic,9,0,1,2,1,1,0
Oscillatoria_tanganyikae_FI6-MK23,,5,0,1,1,2,1,0
Pegethrix_bostrychoides_GSE-TBD4-15B,subaerial,6,1,1,1,1,1,0
Pelatocladus_maniniholoensis_HA4357-MV3,subaerial,7,0,2,1,1,2,0
Plectolyngbya_sp._WJT66-NPBG17,soil,10,0,1,1,2,1,0
Pleurocapsa_minor_GSE-CHR-MK-17-07R,subaerial,6,2,0,0,0,0,3
Pleurocapsa_minor_HA4230-MV1,subaerial,6,0,1,1,1,1,0
Pleurocapsa_sp._PCC_7327,aquatic,6,0,1,1,1,1,2
Prochlorococcus_marinus_str._AS9601,aquatic,7,1,1,1,1,1,0
Prochlorococcus_marinus_str._MIT_9215,aquatic,4,0,1,1,3,1,0
Prochlorococcus_marinus_str._MIT_9301,aquatic,4,0,1,1,1,1,0
Prochlorococcus_marinus_str._MIT_9312,aquatic,6,0,1,1,1,1,0
Prochlorococcus_marinus_str._MIT_9515,aquatic,4,0,1,1,1,1,0
Prochlorococcus_marinus_str._NATL1A,aquatic,4,1,1,1,2,1,0
Prochlorococcus_marinus_str._NATL2A,aquatic,4,1,1,1,2,1,0
Prochlorococcus_sp._MIT_0604_MIT_0604,aquatic,4,0,1,1,1,1,0
Prochlorococcus_sp._MIT_0801_MIT_0801,aquatic,4,1,1,1,2,1,0
Rippkaea_orientalis_PCC_8801,hydroterrestrial,4,0,1,1,1,1,0
Rippkaea_orientalis_PCC_8802,hydroterrestrial,4,0,1,1,1,1,0
Rivularia_sp._PCC_7116_PCC_7116,aquatic,5,0,1,1,1,1,0
Scytolyngbya_sp._HA4215-MV1,aquatic,7,0,1,1,1,1,1
Scytonema_hyalinum_WJT4-NPBG1,soil,6,0,1,1,2,1,1
Scytonematopsis_contorta_HA4267-MV1,hydroterrestrial,6,0,1,1,2,1,1
Spirirestis_raphaelensis_WJT71-NPBG6,soil,4,1,1,1,1,1,1
Stanieria_cyanosphaera_PCC_7437,hydroterrestrial,9,1,1,1,1,1,1
Stenomitos_rutilans_HA7619-LM2,subaerial,6,0,1,0,2,1,0
Symplocastrum_torsivum_CPER-KK1,soil,4,0,1,1,1,1,1
Synechococcus_elongatus_=_FACHB-805_PCC_7942,aquatic,4,0,1,1,1,1,0
Synechococcus_elongatus_PCC_6301,aquatic,4,0,1,1,1,1,0
Synechococcus_sp._CC9311_CC9311,aquatic,4,0,1,1,1,1,0
Synechococcus_sp._CC9605_CC9605,aquatic,4,1,1,1,1,1,0
Synechococcus_sp._CC9902_CC9902,aquatic,4,0,1,1,1,1,0
Synechococcus_sp._JA-3-3Ab_JA-3-3Ab,aquatic,4,1,1,1,1,1,0
Synechococcus_sp._KORDI-100_KORDI-100,aquatic,5,1,1,1,1,1,0
Synechococcus_sp._KORDI-49_KORDI-49,aquatic,4,1,1,1,1,1,0
Synechococcus_sp._KORDI-52_KORDI-52,aquatic,4,1,1,1,1,1,0
Synechococcus_sp._PCC_6312_PCC_6312,aquatic,4,1,1,1,1,1,0
Synechococcus_sp._PCC_7002_PCC_7002__ATCC_27264,hydroterrestrial,4,0,1,1,1,1,0
Synechococcus_sp._PCC_7502_PCC_7502,hydroterrestrial,4,1,1,1,1,1,0
Synechococcus_sp._WH_8109_WH_8109,aquatic,4,1,1,1,1,1,0
Synechocystis_sp._PCC_6714_PCC_6714,aquatic,4,0,1,1,1,1,1
Synechocystis_sp._PCC_6803_GT-S,aquatic,4,0,1,1,1,1,1
Synechocystis_sp._PCC_6803_substr._GT-I_,aquatic,4,0,1,1,1,1,1
Synechocystis_sp._PCC_6803_substr._PCC-N_,aquatic,4,0,1,1,1,1,1
Synechocystis_sp._PCC_6803_substr._PCC-P_,aquatic,4,0,1,1,1,1,1
Thermosynechococcus_elongatus_BP-1,aquatic,0,0,0,1,1,0,0
Tildeniella_nuda_ZEHNDER_1965_U140,subaerial,9,0,1,1,2,1,0
Tildeniella_torsiva_UHER_1998_13D,,6,1,1,1,1,1,1
Timaviella_obliquedivisa_GSE-PSE-MK23-08B,subaerial,4,0,1,1,1,1,0
Tolypothrix_brevis_GSE-NOS-MK-07-07A,subaerial,4,0,1,1,1,1,3
Tolypothrix_carrinoi_HA7290-LM1,subaerial,4,0,1,1,1,1,0
Trichocoleus_desertorum_ATA4-8-CV12,soil,4,0,1,1,2,1,1
Trichodesmium_erythraeum_IMS101,aquatic,8,0,1,1,1,1,0
Trichormus_sp._ATA11-4-KO1,soil,7,0,1,1,1,1,0
Trichormus_variabilis_ATCC_29413,aquatic,8,0,1,1,1,1,0