tip_info,Genome
freshwater,Aetokthonos_hydrillicola
wetwall rock,Aphonocapsa_sp._GSE-SYN-MK-11-07L
soil,Brasilonema_angustatum_HA4187-MV1
soil,calothrix_sp_F12-JRJ7
rock,Desmonostoc_genicultatum_HA340-LM1
wetwall rock,Drouetiella_hepatica_UHER_2000_2452
soil,Drouetiella_lurida_LUKESOVA1986_6
soil,Gloeocaspa_sp._UFS-A4-WI-NPMV-4B04
rock,Goleter_admare_HA340-LM2
soil,Hassallia_sp._WJT32-NPBG1
soil,Hernandeziana_sp._ATA11-4-KO1
soil,Kastovskya_atacamensis_ATA6-11-RM4
soil,Microcoleus_sp._PCC_7113_CLC_1
soil,Microcoleus_sp._PCC_7113_LAC_3
soil,Myxacorys_chilensis_ATA2-1-KO14
soil,Nostoc_desertorum_CM1-VF14
soil,Nostoc_indistinguendum_CM1-VF10
freshwater,Oscillatoria_princeps_RMCB-10
soil,Oscillatoria_tanganyikae_FI-MK23
wetwall rock,Pegethrix_bostrychoides_GSE-TBD4-15B
soil,Pleurocapsa_ercegoicii_ATA3-5Q-KO4
soil,Scytonema_sp._NIES-4073_CLC_1
soil,Symplocastrum_torsivum_CPER-KK1
wetwall rock,Timaviella_obliquedivisa_GSE-PSE-MK23-08B
wetwall rock,Timaviella_radians_GSE-UNK-7R
wetwall rock,Tolypothrix_brevis_GSE-NOS-MK-07-07A
rock,Tolypothrix_carrinoi_HA7290-LM1
soil,Trichocoleus_desertorum_ATA4-8-CV12
freshwater,Scytolyngbya_sp._HA4215-MV1
wetwall rock,Cyanomagaritha calcarea GSE-NOS-MK-12-04C
soil,Iphinoe_sp._HA4291-MV1
soil,Lyngbya_sp._HA4199-MV5
soil,Plectolynbya_sp._WJT66-NPBG17
rock,Pleurocapsa_minor_HA4230-MV1
soil,Scytonema_hyalinum_WJT4-NPBG1
rock,Stenomitos_rutilens_HA7619-LM2
salt water,Anabaena_sp_PCC_7108
freshwater,Cyanobium_gracile_PCC_6307
freshwater,Gloeocaspa_sp_.PCC_7428
freshwater,Leptolyngbya_sp._JSC-1
freshwater,Leptolyngbya_sp._PCC_6406
salt water,Leptolyngbya_sp._PCC_7104
freshwater,Leptolyngbya_sp._PCC_7375
salt water,Mastigocoleus_testarum_BC008
freshwater,Microchaete_sp_PCC_7126
soil,Microcoleus_sp._PC_7113
freshwater,Nostoc_sp_PCC_7107
freshwater,Nostoc_sp_PCC_7524
freshwater,Stanieria_sp._PCC_7437
unknown,Oscillatoria_sp_PCC_10802
freshwater,Oscillatoria_sp._PCC_6407
soil,Oscillatoria_sp._PCC_7112
freshwater,Oscillatoriales_the_cyanobacterium__JSC-12
soil,Pleurocapsa_sp_PCC_7319
freshwater,Pleurocapsa_sp._PCC_7327
salt water,Prochlorothrix_sp._PCC_9006
freshwater,Pseudanabaena_sp._PCC_7429
salt water,Rivularia_sp_PCC_7116
salt water,Spirulina_major_PCC_6313
unknown,Spirulina_sp._PCC_9445
freshwater,Synechococcus_elongatus_PCC7942
salt water,Synechococcus_sp_CC9616
freshwater,Synechococcus_sp_PCC_6312
salt water,Synechococcus_sp_PCC_7336
freshwater,Synechococcus_sp_PCC_7502
rock,Synechocystis_sp_PCC_7509
soil,Oscillatoria_acuminata_PCC_6304
soil,Cylindrospermum_stagnale_PCC_7417
rock,Gloebacter_violaceus_PCC7421
freshwater,leptolyngbya_boryana_PCC_6306
soil,Microcoleus_vaginatus_FGP-2
freshwater,Pseudanabaena_sp_PCC_6802
freshwater,Tolypothrix_sp._PCC_9009