Genome,Habitat 
Cyanomagaritha calcarea GSE-NOS-MK-12-04C ,wetwall rock
Calothrix sp. F12-JRJ7,soil
Calothrix sp. F12-JRJ7 ,soil
Nostoc sp PCC 7524 ,freshwater
Rivularia sp PCC 7116 ,salt water
Brasilonema angustatum HA4187-MV1 ,soil
Scytonema hyalinum WJT4-NPBG1 ,salt water
Scytonema sp. NIES-4073 CLC 1 ,soil
Symplocastrum torsivum CPER-KK1 ,soil
Synechocystis sp PCC 7509 ,salt water
Gloeocapsa sp PCC 7428 ,freshwater
Mastigocoleus testarum BC008 ,salt water
Leptolyngbya sp PCC 7104 ,salt water
Kastovskya atacamensis ATA6-11-RM4 ,soil
Oscillatoria tanganyikae FI-MK23 ,soil
Plectolynbya sp. WJT66-NPBG17 ,soil