STRAIN,GROUP
Aetokthonos_hydrillicola_B3-Florida,aquatic 
Aphanocapsa_lilacina_HA4352-LM1,subaerial
Aphanocapsa_sp._GSE-SYN-MK-11-07L,subaerial
Aphanothece_saxicola_GSE-SYN-MK-01-06B,subaerial
Aphanothece_sp._CMT-3BRIN-NPC111,soil
Brasilonema_angustatum_HA4187-MV1,soil
Brasilonema_octagenarum_HA4186-MV1,subaerial
Calothrix_sp._FI2-JRJ7,soil
Chroococcus_sp._CMT-3BRIN-NPC107,soil
Cyanomargarita_calcarea_GSE-NOS-MK-12-04C,subaerial
Cyanosarcina_radialis_HA8281-LM2,subaerial
Desmonostoc_geniculatum_HA4340-LM1,subaerial
Desmonostoc_vinosum_HA7617-LM4,subaerial
Drouetiella_hepatica_UHER_2000/2452,subaerial
Gloeocapsa_sp._UFS-A4-WI-NPMV-4B04,soil
Goleter_apudmare_HA4340-LM2,subaerial
Hassallia_sp._WJT32-NPBG1,soil
Hormoscilla_sp._CMT-3BRIN-NPC48,soil
Iphinoe_sp._HA4291-MV1,soil
Kaiparowitsia_implicata_GSE-PSE-MK54-09C,subaerial
Kastovskya_adunca_ATA6-11-RM4,soil
Komarekiella_atlantica_HA4396-MV6,hydroterrestrial
Lyngbya_sp._HA4199-MV5,soil
Microcoleus_vaginatus_WJT46-NPBG5,soil
Mojavia_pulchra_JT2-VF2,soil
Myxacorys_californica_WJT36-NPBG1,soil
Myxacorys_chilensis_ATA2-1-KO14,soil
Nodosilinea_sp._WJT8-NPBG4,soil
Nostoc_desertorum_CM1-VF14,NA
Nostoc_indistinguendum_CM1-VF10,NA
Oscillatoria_princeps_RMCB-10,fresh water
Oscillatoria_tanganyikae_FI6-MK23,NA
Pegethrix_bostrychoides_GSE-TBD4-15B,subaerial
Pelatocladus_maniniholoensis_HA4357-MV3,subaerial
Plectolyngbya_sp._WJT66-NPBG17,soil
Pleurocapsa_minor_GSE-CHR-MK-17-07R,subaerial
Pleurocapsa_minor_HA4230-MV1,subaerial
Scytolyngbya_sp._HA4215-MV1,aquatic 
Scytonema_hyalinum_WJT4-NPBG1,soil
Scytonematopsis_contorta_HA4267-MV1,hydroterrestrial
Spirirestis_raphaelensis_WJT71-NPBG6,soil
Stenomitos_rutilans_HA7619-LM2,subaerial
Symplocastrum_torsivum_CPER-KK1,soil
Tildeniella_nuda_ZEHNDER_1965/U140,subaerial
Tildeniella_torsiva_UHER_1998/13D,NA
Timaviella_obliquedivisa_GSE-PSE-MK23-08B,subaerial
Tolypothrix_brevis_GSE-NOS-MK-07-07A,subaerial
Tolypothrix_carrinoi_HA7290-LM1,subaerial
Trichocoleus_desertorum_ATA4-8-CV12,soil
Trichormus_sp._ATA11-4-KO1,soil
Acaryochloris_marina_MBIC11017,aquatic 
Anabaena_cylindrica_PCC_7122,aquatic 
Anabaena_sp._90_90,aquatic 
Anabaena_sp._WA102_WA102,aquatic 
Calothrix_sp._336/3_336/3,aquatic 
Calothrix_sp._PCC_7507_PCC_7507,hydroterrestrial
Calothrix_sp._PCC_6303,aquatic 
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_ALOHA,aquatic 
Chroococcidiopsis_thermalis_PCC_7203,soil
Crinalium_epipsammum_PCC_9333,NA
Crocosphaera_subtropica_ATCC_51142,hydroterrestrial
Cyanobacterium_aponinum_PCC_10605,aquatic 
Cyanobium_gracile_PCC_6307,aquatic 
Cyanothece_sp._PCC_7425_PCC_7425,hydroterrestrial
Dactylococcopsis_salina_PCC_8305,aquatic 
Geitlerinema_sp._PCC_7407_PCC_7407,NA
Gloeobacter_kilaueensis_JS1,subaerial
Gloeobacter_violaceus_PCC_7421,subaerial
Gloeocapsa_sp._PCC_7428_PCC_7428,aquatic 
Gloeothece_citriformis_PCC_7424,hydroterrestrial
Gloeothece_verrucosa_PCC_7822,hydroterrestrial
Halothece_sp._PCC_7418_PCC_7418,aquatic 
Leptolyngbya_sp._PCC_7376_,subaerial
Microcoleus_sp._PCC_7113_PCC_7113,soil
Microcystis_aeruginosa_NIES-843,aquatic 
Nostoc_azollae_0/708,aquatic 
Nostoc_punctiforme_PCC_73102_ATCC_29133;_PCC_73102,soil
Nostoc_sp._PCC_7107_PCC_7107,aquatic 
Nostoc_sp._PCC_7120_=_FACHB-418_PCC_7120,NA
Nostoc_sp._PCC_7524_PCC_7524,aquatic 
Oscillatoria_acuminata_PCC_6304,soil
Oscillatoria_nigro-viridis_PCC_7112,soil
Pleurocapsa_sp._PCC_7327,aquatic 
Prochlorococcus_marinus_str._MIT_9313_MIT9313,aquatic 
Prochlorococcus_marinus_str._NATL2A,aquatic 
Prochlorococcus_marinus_str._MIT_9312,aquatic 
Prochlorococcus_marinus_str._AS9601,aquatic 
Prochlorococcus_marinus_str._MIT_9515,aquatic 
Prochlorococcus_marinus_str._NATL1A,aquatic 
Prochlorococcus_marinus_str._MIT_9301,aquatic 
Prochlorococcus_marinus_str._MIT_9215,aquatic 
Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_CCMP1375;_SS120,aquatic 
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986_MED4,aquatic 
Prochlorococcus_sp._MIT_0604_MIT_0604,aquatic 
Prochlorococcus_sp._MIT_0801_MIT_0801,aquatic 
Pseudanabaena_sp._PCC_7367_PCC_7367,NA
Rippkaea_orientalis_PCC_8801,hydroterrestrial
Rippkaea_orientalis_PCC_8802,hydroterrestrial
Rivularia_sp._PCC_7116_PCC_7116,aquatic 
Stanieria_cyanosphaera_PCC_7437,hydroterrestrial
Synechococcus_elongatus_=_FACHB-805_PCC_7942,aquatic 
Synechococcus_elongatus_PCC_6301,aquatic 
Synechococcus_sp._CC9311_CC9311,aquatic 
Synechococcus_sp._CC9605_CC9605,aquatic 
Synechococcus_sp._CC9902_CC9902,aquatic 
Synechococcus_sp._JA-2-3Ba(2-13)_JA-2-3B'a(2-13),aquatic 
Synechococcus_sp._JA-3-3Ab_JA-3-3Ab,aquatic 
Synechococcus_sp._KORDI-100_KORDI-100,aquatic 
Synechococcus_sp._KORDI-49_KORDI-49,aquatic 
Synechococcus_sp._KORDI-52_KORDI-52,aquatic 
Synechococcus_sp._PCC_6312_PCC_6312,aquatic 
Synechococcus_sp._PCC_7002_PCC_7002;_ATCC_27264,hydroterrestrial
Synechococcus_sp._PCC_7502_PCC_7502,hydroterrestrial
Synechococcus_sp._UTEX_2973_UTEX_2973,NA
Synechococcus_sp._WH_8103_WH_8103,NA
Synechococcus_sp._WH_8109_WH_8109,aquatic 
Synechocystis_sp._PCC_6714_PCC_6714,aquatic 
Synechocystis_sp._PCC_6803_substr._GT-I_,aquatic 
Synechocystis_sp._PCC_6803_substr._PCC-N_,aquatic 
Synechocystis_sp._PCC_6803_substr._PCC-P_,aquatic 
Synechocystis_sp._PCC_6803_PCC_6803,NA
Synechocystis_sp._PCC_6803_GT-S,NA
Synechocystis_sp._PCC_6803_PCC_6803,NA
Synechocystis_sp._PCC_6803_PCC_6803_substr._GT-G,NA
Thermosynechococcus_elongatus_BP-1,aquatic 
Trichodesmium_erythraeum_IMS101,aquatic 
Trichormus_variabilis_ATCC_29413,aquatic 
cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko,NA